Notes_delete at end;Variable / Field Name;Form Name;Section Header;Field Type;Field Label;Choices, Calculations, OR Slider Labels;Field Note;Text Validation Type OR Show Slider Number;Text Validation Min;Text Validation Max;Identifier?;Branching Logic (Show field only if...);Required Field?;Custom Alignment;Question Number (surveys only);Matrix Group Name;Matrix Ranking?;Field Annotation
;date_v1;visit_1;;text;Dato for besøget;;;date_dmy;;;;;y;;;;;Date of visit. Recorded by study staff. Visit 1.
;study_week_v1;visit_1;;text;;;;;;;;;;;;;;
admin;staff_initials_v1;visit_1;;text;Initialer for projektpersonale;;;;;;;;y;;;;;Initials of the study staff member responsible for conducting the screening. Visit 1.
admin;identified_name_cpr_v1;visit_1;;radio;Er deltageren identificereret med navn og CPR-nummer? ;1, Ja | 2, Nej;;;;;;;y;;;;;Whether the participant has been identified by full name and personal identification number (CPR). Recorded by study staff. Visit 1.
;relative_v1;visit_1;;radio;Er der pårørende med til besøget?;1, Ja | 2, Nej;;;;;;;y;;;;;Whether a relative or accompanying person is present at the visit. Recorded by study staff. Visit 1.
admin;relative_name_v1;visit_1;;text;Hvem?;;"Fx ""ægtefælle"" eller ""søster"". ";;;;;[relative_v1] = '1';y;;;;;Specifies the accompanying relative or support person present at the visit. Recorded by study staff. Visit 1.
;visit_attention_points_v1;visit_1;;notes;Opmærksomhedspunkter for besøget;;;;;;;;;;;;;Documents any important notes, considerations, or issues relevant for the visit. Visit 1.
admin;aim_screening_v1;visit_1;;radio;"<div class=""rich-text-field-label""><p>Har deltageren fået en gennemgang af formålet med informations- og screeningsbesøget?</p> <p><span style=""font-weight: normal;""><em>Se ""SOP - Inspirationssætninger til projektintro""</em></span></p></div>";1, Ja | 2, Nej;;;;;;;y;;;;;Whether the purpose of the screening visit has been explained by the study staff. Visit 1.
admin;consent_info_read_v1;visit_1;"Informeret samtykke
Der skal krydses ja på spørgsmål 1-7 for at deltageren kan inkluderes
";radio;1. Har deltageren læst den skriftlige information?;1, Ja | 2, Nej;;;;;;;y;;;;;Whether the participant has read the written information. Visit 1.
admin;consent_info_given_v1;visit_1;;radio;"<div class=""rich-text-field-label""><p>2. Er der givet mundtlig information om projektet, og hvad deltagelse indebærer? </p> <p><span style=""background-color: #bfedd2;"">OBS: Informér deltageren om, hvornår vægttabsfasen cirka kommer til at ligge for dem. Fx så de ved, at det vil strække sig over sommerferien. </span></p> <p><span style=""font-weight: normal;""><em>Se ""SOP - Inspirationssætninger til projektmedarbejder"" </em></span></p></div>";1, Ja | 2, Nej;;;;;;;y;;;;;Whether the participant has been informed about the purpose of the study and what it involves. Visit 1.
admin;consent_24h_reflection_v1;visit_1;;radio;3. Er deltageren blevet gjort opmærksom på retten til min. 24 timers betænkningstid?;1, Ja | 2, Nej;;;;;;;y;;;;;Whether the participant has been informed of their right to a minimum of 24 hours to consider participation. Visit 1.
admin;consent_24h_reflection_use_v1;visit_1;;radio;3a. Ønsker deltageren at benytte sig af 24 timers betænkningstid? ;1, Ja | 2, Nej;;;;;;;y;;;;;States if the participant wishes to use the 24-hour rule. Visit 1.
admin;consent_24h_reflection_date_info_v1;visit_1;;descriptive;"<div class=""rich-text-field-label""><p><span style=""background-color: #f1c40f;"">Der aftales telefonisk opfølgning ca. 2 hverdage efter, hvor det afklares, om kandidaten ønsker at deltage i studiet.</span></p></div>";;;;;;;[consent_24h_reflection_use_v1]='1';;;;;;Information box. Telephone follow-up to be conducted approximately two weekdays after initial contact to confirm the participant's decision regarding study participation. Visit 1.
admin;consent_24h_reflection_date_planned_participant_v1;visit_1;;radio;Er aftale for telefonisk opfølgning skrevet i deltagers kalender?;1, Ja | 2, Nej;;;;;;[consent_24h_reflection_use_v1] = '1';y;;;;;Verifies that the 24-hour reflection follow-up appointment is scheduled in the participant's calendar. Visit 1.
admin;consent_24h_reflection_date_planned_staff_v1;visit_1;;radio;Er aftale for telefonisk opfølgning skrevet i projektpersonales kalender? ;1, Ja | 2, Nej;;;;;;[consent_24h_reflection_use_v1]='1';y;;;;;Verifies that the 24-hour reflection follow-up appointment is scheduled in the staff's calendar. Visit 1.
admin;consent_questions_asked_v1;visit_1;;radio;4. Er deltageren blevet spurgt, om vedkommende har nogle spørgsmål?;1, Ja | 2, Nej;;;;;;;y;;;;;Whether the participant has been asked if there is any questions. Visit 1.
admin;consent_time_commitment_asked_v1;visit_1;;radio;5. Er deltageren blevet spurgt, om vedkommende er indstillet på det tidsforbrug, forsøgsdeltagelsen kræver?;1, Ja | 2, Nej;;;;;;;y;;;;;Whether the participant has been asked if the time requirement for the study is realistic. Visit 1.
admin;consent_signed_v1;visit_1;;radio;6. Har deltageren underskrevet samtykkeerklæringen?;1, Ja | 2, Nej;;;;;;;y;;;;;Whether the participant has signed the declaration of consent. Visit 1.
admin;staff_signed_consent_v1;visit_1;;radio;7. Har projektmedarbejderen underskrevet samtykkeerklæringen?;1, Ja | 2, Nej;;;;;;;y;;;;;Whether the staff member has signes the declaration of consent. Visit 1.
admin;consent_copy_taken_v1;visit_1;;radio;8. Er der blevet taget en fotokopi af samtykkeerklæringen?;1, Ja | 2, Nej;;;;;;;y;;;;;Whether there has been made a copy of the written consent. Visit 1.
admin;consent_copy_given_v1;visit_1;;radio;9. Har deltageret fået en fotokopi af samtykkeerklæringen?;1, Ja | 2, Nej;;;;;;;y;;;;;Whether the participant has received a copy of the written consent. Visit 1.
admin;consent_original_filed_v1;visit_1;;radio;10. Er den originale samtykkeerklæring blevet lagt i mappen på L-drevet?;1, Ja | 2, Nej;L:\Auditdata\ON LiMiT\2. Feasibility studie\10. Data\1. Samtykkeerklæring;;;;;;y;;;;;Whether the written consent has been saved on the L-drev. Visit 1.
admin;contact_other_trials_v1;visit_1;;radio;Må vi kontakte deltageren til andre forsøg?;1, Ja | 2, Nej;;;;;;;y;;;;;Participant's consent to future contact regarding other research studies, recorded verbally and documented in REDCap. Recorded by study staff. Visit 1.
admin;wants_results_v1;visit_1;;radio;Ønsker deltageren at få sine resultater fra projektet?;1, Ja | 2, Nej;;;;;;;y;;;;;Participant's preference regarding receiving their personal study results, recorded verbally and documented in REDCap. Recorded by study staff. Visit 1.
;age_v1;visit_1;"<div class=""rich-text-field-label""><h4><span style=""color: #000000;"">Screening</span></h4> <p><span style=""background-color: #e67e23;"">Udfyld først relevante felter i instrumentet ""stamdata"".</span></p> <p>Inklusionskriterier<br><span style=""font-weight: normal;"">Deltageren skal leve op til følgende inklusionskriterier</span></p></div>";text;"<div class=""rich-text-field-label""><p>Alder i år</p></div>";;Deltageren skal være ≥18 - 75 år.;number;0;100;;;y;;;;;Age of participant. V1.
;height_v1;visit_1;;text;Højde;;Angives i meter med to decimaler;number_2dp_comma_decimal;1,19;2,31;;;y;;;;;Participant's height in meters, measured with a stadiometer to the nearest 0.1 cm. Visit 1.
;weight_v1;visit_1;;text;Vægt;;Vægt i kg.  Angives med 1 decimal. Måles med let påklædning og uden sko. ;number_1dp_comma_decimal;49,9;200,1;;;y;;;;;Participant's weight in kilograms, measured with light clothing using a digital scale. Measured to the nearest 0.1 kg. Visit 1.
;bmi_v1;visit_1;;calc;BMI;round(([weight_v1])/(([height_v1])^(2)), 1);Inklusionskriterium: BMI ≥ 27.;;;;;;y;;;;;Body Mass Index (BMI) in kg/m², calculated from weight and height. Visit 1.
;bmi_eligible_v1;visit_1;;radio;Opfyldes BMI som inklusionskriterium? ;1, Ja - Deltageren har et BMI på ≥ 27 | 2, Nej - Deltageren har et BMI på < 27;Inklusionskriterium: BMI ≥ 27.;;;;;;y;;;;;Indicates whether the participant meets the BMI inclusion criterion. Recorded by study staff. Visit 1.
;t2d_diagnose_v1;visit_1;;radio;Er deltageren diagnosticeret med type 2-diabetes?;1, Ja | 2, Nej;;;;;;;y;;;;;Diagnosis status of type 2 diabetes. Visit 1.
;t2d_duration_v1;visit_1;;calc;Hvor mange år har deltageren været diagnosticeret med type 2-diabetes?;[stamdata_arm_1][t2d_duration_stamdata];"Denne information hentet instrumentet ""Stamdata"". Inklusionskriterium: T2D-varighed på ≤6 år. Det kan ses i Sundhedsplatformen under ""laboratoriesvar"", hvornår deltageren første gang har haft HbA1c > 48 mmol/mol. ";;;;;;y;;;;;Number of years since participant was diagnosed with type 2 diabetes. Visit 1.
;treatment_v1;visit_1;;checkbox;"<div class=""rich-text-field-label""><p>Får deltageren én eller flere af følgende behandlinger?<br><span style=""font-weight: normal;""><em>Hvis deltageren kan svare ja til én eller flere af behandlingerne, kan deltageren inkluderes i studiet.</em></span><br><br></p></div>";1, Livstilbehandling (f.eks. forløb hos diætist, træningsforløb eller andet) | 2, Oral antidiabetisk medicin | 3, Inkretinbaseret medicin (fx GLP-1 RA);For at blive inkluderet skal der sættes kryds ved mindst én mulighed.;;;;;[t2d_diagnose_v1] = '1';y;;;;;Current treatment approach for type 2 diabetes - lifestyle changes and/or oral antidiabetic medication and/or incretin based medicin (e.g. GLP-1 receptor agonist). Visit 1.
